id,bidding_zone,timestamp,price_eur_mwh,created_at
2529,NO1,2025-12-09 23:45:00+00,40.30,2025-12-11 13:21:02.064435+00
2530,NO1,2025-12-10 00:00:00+00,44.26,2025-12-11 13:21:02.064435+00
2531,NO1,2025-12-10 00:15:00+00,42.57,2025-12-11 13:21:02.064435+00
2532,NO1,2025-12-10 00:30:00+00,40.78,2025-12-11 13:21:02.064435+00
2533,NO1,2025-12-10 00:45:00+00,36.54,2025-12-11 13:21:02.064435+00
2534,NO1,2025-12-10 01:00:00+00,33.88,2025-12-11 13:21:02.064435+00
2535,NO1,2025-12-10 01:15:00+00,29.02,2025-12-11 13:21:02.064435+00
2536,NO1,2025-12-10 01:30:00+00,31.16,2025-12-11 13:21:02.064435+00
2537,NO1,2025-12-10 01:45:00+00,28.91,2025-12-11 13:21:02.064435+00
2538,NO1,2025-12-10 02:00:00+00,35.52,2025-12-11 13:21:02.064435+00
2539,NO1,2025-12-10 02:15:00+00,32.53,2025-12-11 13:21:02.064435+00
2540,NO1,2025-12-10 02:30:00+00,26.92,2025-12-11 13:21:02.064435+00
2541,NO1,2025-12-10 02:45:00+00,27.48,2025-12-11 13:21:02.064435+00
2542,NO1,2025-12-10 03:00:00+00,26.70,2025-12-11 13:21:02.064435+00
2543,NO1,2025-12-10 03:15:00+00,35.76,2025-12-11 13:21:02.064435+00
2544,NO1,2025-12-10 03:30:00+00,38.25,2025-12-11 13:21:02.064435+00
2545,NO1,2025-12-10 03:45:00+00,38.15,2025-12-11 13:21:02.064435+00
2546,NO1,2025-12-10 04:00:00+00,37.47,2025-12-11 13:21:02.064435+00
2547,NO1,2025-12-10 04:15:00+00,41.00,2025-12-11 13:21:02.064435+00
2548,NO1,2025-12-10 04:30:00+00,47.32,2025-12-11 13:21:02.064435+00
2549,NO1,2025-12-10 04:45:00+00,48.60,2025-12-11 13:21:02.064435+00
2550,NO1,2025-12-10 05:00:00+00,54.12,2025-12-11 13:21:02.064435+00
2551,NO1,2025-12-10 05:15:00+00,56.32,2025-12-11 13:21:02.064435+00
2552,NO1,2025-12-10 05:30:00+00,57.27,2025-12-11 13:21:02.064435+00
2553,NO1,2025-12-10 05:45:00+00,58.19,2025-12-11 13:21:02.064435+00
2554,NO1,2025-12-10 06:00:00+00,60.55,2025-12-11 13:21:02.064435+00
2555,NO1,2025-12-10 06:15:00+00,62.08,2025-12-11 13:21:02.064435+00
2556,NO1,2025-12-10 06:30:00+00,62.77,2025-12-11 13:21:02.064435+00
2557,NO1,2025-12-10 06:45:00+00,63.57,2025-12-11 13:21:02.064435+00
2558,NO1,2025-12-10 07:00:00+00,65.99,2025-12-11 13:21:02.064435+00
